sortOrder,id,name_cn,description,price_adult_regular,price_adult_advance,price_child_regular,price_child_advance,price_under25,price_under18,duration,validityPeriod_startDate,validityPeriod_endDate,validityPeriod_description,coverage_regions,coverage_map,targetAudience,trainTypes,advantages,disadvantages,tips,officialLinks,purchaseLinks,category,popularity,bestFor,isLimitedPeriod
1,jr-east-south-hokkaido-rail-pass-6day,JR东日本・南北海道铁路周游券6日券,东日本 + 南北海道的6日周游券，连接东京、仙台、函馆，覆盖东北和北海道南部地区。,35370,,17680,,,,6,,,全年可用,"東北, 北海道",/images/coverage/jr-east-south-hokkaido-rail-pass-6day.png,持有旅游签证的外国护照游客,"新干线, 特急电车, 急行电车, 普通电车, JR巴士",连接东京、仙台、函馆;覆盖东北和北海道南部;包含东北新干线和北海道新干线;6天连续使用;跨地区旅行便利,仅限东北和北海道南部;不包含北海道北部;部分特急电车需额外费用,适合东北和北海道南部旅行;可游览东京、仙台、函馆;建议提前规划路线;注意各线路的运行时间,https://www.jreast.co.jp/zh-CHS/multi/pass/easthokkaido.html,JR北海道官方 (https://www.eki-net.com/zh-CHS/jreast-train-reservation/reserve/wb/PurchaseTicketSelect/Index),regional,4,"跨地区旅行, 中途旅游",
2,hokkaido-rail-pass-5day,北海道铁路周游券5日券,北海道全域的5日周游券，最经典北海道周游券，覆盖北海道所有JR线路。,23000,22000,11500,11000,,,5,,,全年可用,北海道,/images/coverage/hokkaido-rail-pass-5day.png,持有旅游签证的外国护照游客,"特急电车, 急行电车, 普通电车",覆盖北海道全域;最经典北海道周游券;5日连续使用;覆盖北海道所有JR线路;性价比高,仅限北海道地区;不包含新干线;部分特急电车需额外费用,适合北海道全域旅行;可游览北海道所有景点;建议提前规划路线;注意各线路的运行时间,https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html#hrp,JR北海道官方 (https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1),regional,4,"北海道全域, 预购有1000円优惠",
3,hokkaido-rail-pass-7day,北海道铁路周游券7日券,北海道全域的7日周游券，最经典北海道周游券，覆盖北海道所有JR线路。,29000,28000,14500,14000,,,7,,,全年可用,北海道,/images/coverage/hokkaido-rail-pass-7day.png,持有旅游签证的外国护照游客,"特急电车, 急行电车, 普通电车",覆盖北海道全域;最经典北海道周游券;7日连续使用;覆盖北海道所有JR线路;性价比高,仅限北海道地区;不包含新干线;部分特急电车需额外费用,适合北海道全域旅行;可游览北海道所有景点;建议提前规划路线;注意各线路的运行时间,https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html#hrp,JR北海道官方 (https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1),regional,4,"北海道全域, 预购有1000円优惠",
4,hokkaido-rail-pass-10day,北海道铁路周游券10日券,北海道全域的10日周游券，最经典北海道周游券，覆盖北海道所有JR线路。,38000,37000,19000,18500,,,10,,,全年可用,北海道,/images/coverage/hokkaido-rail-pass-10day.png,持有旅游签证的外国护照游客,"特急电车, 急行电车, 普通电车",覆盖北海道全域;最经典北海道周游券;10日连续使用;覆盖北海道所有JR线路;性价比高,仅限北海道地区;不包含新干线;部分特急电车需额外费用,适合北海道全域旅行;可游览北海道所有景点;建议提前规划路线;注意各线路的运行时间,https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html#hrp,JR北海道官方 (https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1),regional,4,"北海道全域, 预购有1000円优惠",
5,sapporo-furano-area-pass,札幌・富良野地区周游券,札幌、富良野、美瑛的4日周游券，夏季花田热门路线，适合夏季北海道旅行。,12000,,6000,,,,4,,,全年可用,北海道,/images/coverage/sapporo-furano-area-pass.png,持有旅游签证的外国护照游客,"特急电车, 急行电车, 普通电车",覆盖札幌、富良野、美瑛;夏季花田热门路线;4天连续使用;适合夏季北海道旅行;价格合理,仅限札幌、富良野、美瑛地区;不包含新干线;部分特急电车需额外费用,适合夏季北海道旅行;可游览札幌、富良野、美瑛;建议提前规划路线;注意各线路的运行时间,https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html#furano,JR北海道官方 (https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1),regional,4,"札幌・富良野・美瑛观光, 预购有1000円优惠",
6,sapporo-noboribetsu-pass,札幌・登别周游券,札幌、登别的4日周游券，温泉观光向，适合温泉度假之旅。,11000,,5500,,,,4,,,全年可用,北海道,/images/coverage/sapporo-noboribetsu-pass.png,持有旅游签证的外国护照游客,"特急电车, 急行电车, 普通电车",覆盖札幌、登别;温泉观光向;2天连续使用;适合温泉度假之旅;价格合理,仅限札幌、登别地区;不包含新干线;部分特急电车需额外费用,适合温泉度假之旅;可游览札幌、登别;建议提前规划路线;注意各线路运行时间,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html#noboribetsu,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"札幌・登别观光, 预购有1000円优惠",
7,sapporo-subway-1day,札幌市营地铁全线一日券,札幌地铁全线路的一日券，适合札幌市内一日游。,830,,420,,,,1,,,全年可用,北海道,/images/coverage/sapporo-subway-1day.png,不问国籍所有游客皆可购买,地铁,覆盖札幌地铁全线路;一自然日有效;价格合理;适合札幌市内一日游;购买方便,仅限札幌地铁;不包含JR线路;不包含巴士;仅支持现金支付,适合札幌市内一日游;可游览札幌主要景点;建议提前规划路线;注意各线路运行时间,札幌地铁官方 https://www.city.sapporo.jp/st/josyaken/card.html#ichinichi,札幌地铁官方 https://www.city.sapporo.jp/st/josyaken/ticket_h.html type:official,city,3,"札幌一日游, 现金支付, 购票机可购买",
8,toei-subway-2day,休息日限定地铁全线一日券,土休节假日限定地铁全线的一日券，适合假期来札幌市内一日游。,520,,260,,,,1,,,周六、周日、节假日,北海道,/images/coverage/sapporo-subway-1day.png,不问国籍所有游客皆可购买,地铁,覆盖札幌地铁全线路;一自然日有效;价格划算;适合札幌市内一日游;购买方便,仅限札幌地铁;不包含JR线路;不包含巴士;仅支持现金支付,适合札幌市内一日游;可游览札幌主要景点;建议提前规划路线;注意各线路运行时间,札幌地铁官方 https://www.city.sapporo.jp/st/josyaken/card.html#donichika,札幌地铁官方 https://www.city.sapporo.jp/st/josyaken/ticket_h.html type:official,city,5,"札幌一日游, 现金支付, 购票机可购买",TRUE
9,hakodate-travel-passport,函馆旅行一日券,函馆地区的周游券，包含函馆市内交通和主要景点门票，适合函馆深度游。,3000,,1500,,,,1,,,全年可用,北海道,/images/coverage/hakodate-travel-passport.png,不问国籍所有游客皆可购买,"巴士, 观光电车, 普通电车",包含函馆市内巴士;包含函馆山缆车;包含五稜郭公园门票;一自然日有效;价格合理,仅限函馆地区;不包含特急电车;仅限一自然日使用,适合函馆及周围地区深度游;可游览函馆主要景点;建议提前规划路线;注意各景点开放时间,函馆观光协会 https://www.hakodate.travel/zh/guide/transportation/,函馆观光协会 https://www.hakodate.travel/zh/guide/transportation/ type:official,city,3,"函馆深度游, 电子票有优惠, 市内交通, 一日游",
10,hokkaido-free-pass,北海道周游券,北海道全域的自由券，覆盖北海道所有JR线路，适合北海道全域旅行。,23000,,11500,,,,5,,,全年可用,北海道,/images/coverage/hokkaido-free-pass.png,持有旅游签证的外国护照游客,"特急电车, 急行电车, 普通电车",覆盖北海道全域;5日连续使用;覆盖北海道所有JR线路;性价比高,仅限北海道地区;不包含新干线;部分特急电车需额外费用,适合北海道全域旅行;可游览北海道所有景点;建议提前规划路线;注意各线路运行时间,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,4,"北海道全域, 经典周游券, 预购有优惠",
